match_id,date,team_1,team_2,venue,substitute_player,event,player_out,dismissal_kind
733999,2014-05-11,Royal Challengers Bangalore,Rajasthan Royals,M Chinnaswamy Stadium,RR Rossouw,substitute fielder,STR Binny,caught
734045,2014-05-28,Chennai Super Kings,Mumbai Indians,Brabourne Stadium,BR Dunk,substitute fielder,F du Plessis,caught
829747,2015-04-23,Delhi Daredevils,Mumbai Indians,Feroz Shah Kotla,J Yadav,substitute fielder,Harbhajan Singh,caught
829751,2015-04-25,Mumbai Indians,Sunrisers Hyderabad,Wankhede Stadium,HH Pandya,substitute fielder,RS Bopara,caught
829773,2015-05-02,Sunrisers Hyderabad,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal",B Aparajith,substitute fielder,GH Vihari,caught
829817,2015-05-19,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,UBT Chand,substitute fielder,P Negi,caught
980963,2016-05-04,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,R Sathish,substitute fielder,DA Miller,caught
980967,2016-05-06,Sunrisers Hyderabad,Gujarat Lions,"Rajiv Gandhi International Stadium, Uppal",V Shankar,substitute fielder,DJ Bravo,caught
981009,2016-05-22,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,R Sathish,substitute fielder,Yuvraj Singh,caught
981015,2016-05-25,Sunrisers Hyderabad,Kolkata Knight Riders,Feroz Shah Kotla,V Shankar,substitute fielder,G Gambhir,caught
